original_title,year,acquisition_type,film_stock_or_camera_type,verification_status,source_or_basis,source_url,uncertainty_note
Extraction 2 (2023),2023,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Eyes Wide Shut (1999),1999,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Face Off (1997),1997,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Fahrenheit 9 11 (2004),2004,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Falling Down (1993),1993,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Fantastic Mr Fox (2009),2009,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
Fargo (1996),1996,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Fear And Loathing In Las Vegas (1998),1998,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Fences (2016),2016,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Filth (2013),2013,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Finding Dory (2016),2016,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
Finding Nemo (2003),2003,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
Finding Neverland (2004),2004,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
First Man (2018),2018,Mixed,"Super 16, 35 mm, 65 mm and digital VFX plates",Technical-source lead,ASC production coverage,,Technical detail is a curated lead; recheck against the cited production source before using as a ground-truth training label.
Flags of our Fathers (2006),2006,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Flight (2012),2012,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Ford V Ferrari (2019),2019,Film,"35 mm; Panavision cameras, Kodak Vision3",Technical-source lead,ASC production coverage,,Technical detail is a curated lead; recheck against the cited production source before using as a ground-truth training label.
Forgetting Sarah Marshall (2008),2008,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Four Weddings And A Funeral (1994),1994,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Foxcatcher (2014),2014,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Fracture (2007),2007,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Frequency (2000),2000,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Friday (1995),1995,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
From Dusk Till Dawn (1996),1996,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Frost Nixon (2008),2008,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Frozen (2013),2013,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
Furious 6 (2013),2013,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
Furious Seven (2015),2015,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
Galaxy Quest (1999),1999,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Gangs of New York (2002),2002,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Gattaca (1997),1997,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Ghandi (1982),1982,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Ghost (1990),1990,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Ghost World (2001),2001,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Ghostbusters (1984),1984,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Ghostbusters Afterlife (2021),2021,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Gifted (2017),2017,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Girl Interrupted (1999),1999,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Gladiator EXTENDED REMASTERED (2000),2000,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Glengarry Glen Ross (1992),1992,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Goldfinger (1964),1964,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Gone Baby Gone (2007),2007,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Gone Girl (2014),2014,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Good Time (2017),2017,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Good Will Hunting (1997),1997,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Goodfellas (1990),1990,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Gran Torino (2008),2008,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Gravity (2013),2013,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Grease (1978),1978,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Green Book (2018),2018,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Green Street Hooligans (2005),2005,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Greyhound (2020),2020,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Grindhouse (2007),2007,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Guardians Of The Galaxy Vol. 2 (2017),2017,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Guardians of the Galaxy (2014),2014,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Hachiko - A Dogs Tale (2009),2009,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Hacksaw Ridge (2016),2016,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Hamilton (2020),2020,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Happy Gilmore (1996),1996,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Harry Potter And The Chamber Of Secrets (2002),2002,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Harry Potter And The Half-Blood Prince (2009),2009,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Harry Potter And The Prisoner Of Azkaban (2004),2004,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Heat (1995),1995,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Hell Or High Water (2016),2016,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Hellboy The Golden Army (2008),2008,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Her (2013),2013,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Hidden Figures (2016),2016,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
High Fidelity (2000),2000,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Highlander (1986),1986,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Home Alone (1990),1990,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Hot Fuzz (2007),2007,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Hotel Rawanda (2008),2008,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Hotel Transylvania (2012),2012,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
Hotel Transylvania 4 Transformania (2022),2022,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
How To Train Your Dragon The Hidden World (2019),2019,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
How to Train Your Dragon 2 (2014),2014,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
Hugo (2011),2011,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Low-confidence transition-era estimate. Film acquisition remained common in 2010–2011; verify before using as a ground-truth label.
Hustle (2022),2022,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
"I Love You, Man (2009)",2009,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
I Origins (2014),2014,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
I am Sam (2001),2001,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
"I, Tonya (2017)",2017,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Identity (2003),2003,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Imagine That (2009),2009,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
In Bruges (2008),2008,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
In The Line Of Fire (1993),1993,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
In The Name Of The Father (1993),1993,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Independence Day (1996),1996,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Indiana Jones And The Temple Of Doom (1984),1984,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Indiana Jones and the Last Crusade (1989),1989,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Inside Llewyn Davis (2013),2013,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Inside Man (2006),2006,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Inside Out (2015),2015,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
Insomnia (2002),2002,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Interstellar (2014),2014,Film,"35 mm and IMAX 15/70; Panavision / IMAX, Kodak",Technical-source lead,ASC production coverage,,Technical detail is a curated lead; recheck against the cited production source before using as a ground-truth training label.
Invictus (2009),2009,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Iron Man (2008),2008,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Isle Of Dogs (2018),2018,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
Its Kind of a Funny Story (2010),2010,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Low-confidence transition-era estimate. Film acquisition remained common in 2010–2011; verify before using as a ground-truth label.
JFK (1991),1991,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Jackie Brown (1997),1997,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
James Bond Casino Royale (2006),2006,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
James Bond GoldenEye (1995),1995,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
John Q (2002),2002,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
John Wick (2014),2014,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
John Wick Chapter 2 (2017),2017,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
John Wick Chapter 3 - Parabellum (2019),2019,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
John Wick Chapter 4 (2023),2023,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Jojo Rabbit (2019),2019,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Julie and Julia (2009),2009,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Jumanji (1995),1995,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Jumanji Welcome To The Jungle (2017),2017,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Juno (2007),2007,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
K-PAX (2001),2001,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Kick-Ass (2010),2010,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Low-confidence transition-era estimate. Film acquisition remained common in 2010–2011; verify before using as a ground-truth label.
Kill Bill Vol 1 (2003),2003,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Kill Bill Vol 2 (2004),2004,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
King Kong (2005),2005,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
King Richard (2021),2021,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Kingdom Of Heaven (2005),2005,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Kiss Kiss Bang Bang (2005),2005,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Klaus (2019),2019,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
Kubo And The Two Strings (2016),2016,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
Kung Fu Panda 2,,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
L.A Confidential (1997),1997,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
La La Land (2016),2016,Film,"35 mm; Panavision Panaflex Millennium XL2, Kodak Vision3",Technical-source lead,ASC production coverage,,Technical detail is a curated lead; recheck against the cited production source before using as a ground-truth training label.
Lady Bird (2017),2017,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Lars and the Real Girl (2007),2007,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Lawless (2012),2012,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Layer Cake (2004),2004,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Leaving Las Vegas (1995),1995,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Legends of the Fall (1994),1994,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Leon The Professional Extended (1994),1994,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Les Misérables (2012),2012,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Letters From Iwo Jima (2006),2006,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Licorice Pizza (2021),2021,Film,"35 mm; Panavision cameras, Kodak Vision3",Technical-source lead,ASC production coverage,,Technical detail is a curated lead; recheck against the cited production source before using as a ground-truth training label.
Life of Brian (1979) 720p,1979,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Life of Pi (2012),2012,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Limitless (2011),2011,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Low-confidence transition-era estimate. Film acquisition remained common in 2010–2011; verify before using as a ground-truth label.
Lincoln (2012),2012,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Lion (2016),2016,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Little Children (2006),2006,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Little Miss Sunshine (2006),2006,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
